序号,文件名,虫子编号,中心点x坐标,中心点y坐标,左上角x坐标,左上角y坐标,右下角x坐标,右下角y坐标
493,03482.jpg,480,3039,807,2941,685,3136,928
494,03483.jpg,156,4441,2371,4264,2170,4618,2571
495,03494.jpg,8,1873,3361,1651,3220,2095,3501
496,03494.jpg,8,1751,3328,1625,3203,1876,3453
497,03499.jpg,156,2378,527,1930,207,2825,847
498,03499.jpg,156,4453,1161,4205,966,4701,1357
499,03499.jpg,156,1132,3331,981,3180,1283,3483
500,03499.jpg,156,2959,767,2694,568,3223,966
501,03523.jpg,156,4054,1539,3857,1412,4250,1667
502,03557.jpg,256,4083,1911,3755,1753,4411,2070
503,03558.jpg,156,3635,3140,3291,2670,3979,3611
504,03558.jpg,156,2708,904,2288,462,3129,1346
505,03558.jpg,156,1756,198,1484,1,2029,395
506,03558.jpg,148,3871,470,3177,0,4565,941
507,03563.jpg,7,3673,2829,3517,2710,3828,2948
508,03563.jpg,156,3987,79,3647,0,4326,159
509,03567.jpg,156,2007,381,1599,145,2416,617
510,03585.jpg,156,4365,117,4054,-2,4675,236
511,03585.jpg,156,2552,1443,2294,1287,2811,1600
512,03585.jpg,156,2193,272,1987,99,2400,445
513,03585.jpg,156,2032,1490,1736,1200,2329,1780
514,03585.jpg,156,1443,1194,1159,921,1728,1466
515,03585.jpg,25,4272,2053,3971,1750,4574,2355
516,03589.jpg,156,3373,2714,3241,2656,3505,2773
517,03616.jpg,156,3242,1610,2904,1352,3580,1868
518,03616.jpg,156,2026,394,1793,229,2258,560
519,03616.jpg,105,1358,3226,1107,2954,1609,3499
520,03629.jpg,41,4139,3161,3947,2775,4331,3546
521,03629.jpg,480,174,2956,-9,2889,358,3023
522,03641.jpg,156,4288,134,4071,-2,4505,270
523,03643.jpg,156,3144,1678,2928,1476,3360,1879
524,03643.jpg,235,2698,906,2416,590,2980,1223
525,03649.jpg,392,2970,3515,2829,3382,3111,3647
526,03653.jpg,480,3895,829,3831,780,3959,877
527,03664.jpg,156,3669,3063,3531,2979,3808,3147
528,03664.jpg,156,2963,3505,2895,3397,3031,3614
529,03682.jpg,156,4193,3564,4026,3478,4360,3649
530,03730.jpg,480,1244,1998,1150,1937,1338,2059
531,03751.jpg,480,4126,624,4027,537,4225,710
532,03759.jpg,256,3689,1992,3485,1586,3894,2398
533,03761.jpg,156,3090,2040,2961,1908,3219,2171
534,03767.jpg,156,3844,2261,3435,1994,4254,2528
535,03782.jpg,105,3596,1872,3366,1673,3826,2072
536,03783.jpg,392,2933,2432,2876,2368,2989,2495
537,03785.jpg,156,3948,255,3593,-4,4303,514
538,03785.jpg,156,2983,296,2619,15,3347,578
539,03785.jpg,156,2391,330,2100,0,2682,660
540,03791.jpg,387,659,3319,514,3158,805,3480
541,03792.jpg,156,3416,823,3016,452,3817,1195
542,03792.jpg,156,2858,1888,2442,1598,3274,2179
543,03814.jpg,156,4442,181,4094,0,4790,362
544,03814.jpg,156,2599,67,2412,0,2786,135
545,03814.jpg,156,3170,41,3043,0,3297,82
546,03814.jpg,256,2063,3505,1963,3361,2163,3649
547,03815.jpg,156,3055,2201,2665,1831,3445,2570
548,03815.jpg,156,3739,2938,3535,2618,3943,3257
549,03815.jpg,115,4135,3138,3954,2853,4315,3423
550,03815.jpg,280,2413,3433,2215,3300,2611,3566
